School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Jacksonville,1967,2025,jacksonville
Jacksonville State,1996,2025,jacksonville-state
James Madison,1977,2025,james-madison
John Carroll Blue Streaks,1948,1955,john-carroll
Kalamazoo Hornets,1908,1923,kalamazoo
Kansas,1899,2025,kansas
Kansas City,1990,2025,missouri-kansas-city
Kansas State,1906,2025,kansas-state
Kennesaw State,2010,2025,kennesaw-state
Kent State,1914,2025,kent-state
Kentucky,1903,2025,kentucky
Kentucky Wesleyan Panthers,1957,1958,kentucky-wesleyan
La Salle,1932,2025,la-salle
Lafayette,1901,2025,lafayette
Lake Forest Foresters,1905,1916,lake-forest
Lamar,1970,2025,lamar
Lawrence Tech,1948,1948,lawrence-tech
Le Moyne,2024,2025,le-moyne
Lehigh,1902,2025,lehigh
Lewis Flyers,1905,1905,lewis
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Liberty,1989,2025,liberty
Lindenwood,2023,2025,lindenwood
Lipscomb,2004,2025,lipscomb
Little Rock,1979,2025,arkansas-little-rock
Long Beach State,1970,2025,long-beach-state
Long Island University,1929,2025,long-island-university
Longwood,2008,2025,longwood
Louisiana,1972,2025,louisiana-lafayette
Louisiana State,1909,2025,louisiana-state
Louisiana Tech,1974,2025,louisiana-tech
Louisiana-Monroe,1974,2025,louisiana-monroe
Louisville,1912,2025,louisville
Loyola (IL),1921,2025,loyola-il
Loyola (LA) Wolfpack,1952,1972,loyola-la
Loyola (MD),1908,2025,loyola-md
Loyola Marymount,1943,2025,loyola-marymount
Macalester Scots,1896,1899,macalester
Maine,1904,2025,maine
Manchester Spartans,1926,1926,manchester
